state,product,complaints
MN,Checking or savings account,41
MO,"Money transfer, virtual currency, or money service",41
NC,Mortgage,41
OR,Checking or savings account,40
IL,Student loan,39
OR,Credit card,39
VA,Mortgage,38
CT,Checking or savings account,37
MD,Mortgage,37
MI,Mortgage,37
OH,Student loan,37
GA,"Payday loan, title loan, personal loan, or advance loan",35
KS,Debt collection,35
OH,Vehicle loan or lease,35
VT,Credit reporting or other personal consumer reports,35
IL,Vehicle loan or lease,34
MA,"Money transfer, virtual currency, or money service",34
MI,Student loan,34
NC,Student loan,33
NE,Debt collection,32
MI,Vehicle loan or lease,31
MS,"Money transfer, virtual currency, or money service",31
NC,Vehicle loan or lease,31
WV,Debt collection,31
WY,Credit reporting or other personal consumer reports,31
MS,Checking or savings account,30
NJ,Vehicle loan or lease,30
NV,"Money transfer, virtual currency, or money service",30
OH,Mortgage,30
OH,"Payday loan, title loan, personal loan, or advance loan",30
UT,Debt collection,30
CO,"Money transfer, virtual currency, or money service",29
ID,Debt collection,29
PA,Vehicle loan or lease,29
TN,Mortgage,29
TX,Prepaid card,29
WA,"Money transfer, virtual currency, or money service",29
IA,Debt collection,28
MN,"Money transfer, virtual currency, or money service",28
AR,Credit card,27
DE,Credit card,27
KY,"Money transfer, virtual currency, or money service",27
MD,Vehicle loan or lease,27
NJ,Student loan,27
NY,Prepaid card,27
SC,Mortgage,27
MD,Student loan,26
NM,Debt collection,26
OK,Credit card,26
RI,Debt collection,26
AZ,Student loan,25
HI,Debt collection,25
IN,"Money transfer, virtual currency, or money service",25
NY,"Payday loan, title loan, personal loan, or advance loan",25
UT,Credit card,25
WA,Mortgage,25
WI,"Money transfer, virtual currency, or money service",25
AE,Credit reporting or other personal consumer reports,24
CO,Mortgage,24
CO,Student loan,24
KY,Checking or savings account,24
MS,Credit card,24
UT,Checking or savings account,24
IA,Credit card,22
NH,Debt collection,22
OK,"Money transfer, virtual currency, or money service",22
VA,Vehicle loan or lease,22
WV,Credit card,22
AL,Mortgage,21
AL,Vehicle loan or lease,21
KY,Credit card,21
MA,Mortgage,21
TN,Student loan,21
WA,Student loan,21
WI,Checking or savings account,21
AR,Checking or savings account,20
DC,Debt collection,20
NC,"Payday loan, title loan, personal loan, or advance loan",20
NJ,"Payday loan, title loan, personal loan, or advance loan",20
AL,"Payday loan, title loan, personal loan, or advance loan",19
AR,"Money transfer, virtual currency, or money service",19
CT,"Money transfer, virtual currency, or money service",19
DE,Checking or savings account,19
FL,Debt or credit management,19
LA,"Payday loan, title loan, personal loan, or advance loan",19
MA,Student loan,19
ND,Debt collection,19
SC,Vehicle loan or lease,19
TX,Debt or credit management,19
AZ,Vehicle loan or lease,18
CA,Debt or credit management,18
CT,Mortgage,18
DC,Checking or savings account,18
IL,"Payday loan, title loan, personal loan, or advance loan",18
IN,Mortgage,18
IN,Student loan,18
IN,Vehicle loan or lease,18
KS,Credit card,18
OR,Mortgage,18
SC,Student loan,18
TN,"Payday loan, title loan, personal loan, or advance loan",18
VA,Student loan,18
KS,Checking or savings account,17
LA,Vehicle loan or lease,17
MI,"Payday loan, title loan, personal loan, or advance loan",17
MN,Mortgage,17
NE,Credit card,17
OR,Student loan,17
DC,Credit card,16
MA,Vehicle loan or lease,16
MO,Mortgage,16
MT,Debt collection,16
NV,"Payday loan, title loan, personal loan, or advance loan",16
OR,"Money transfer, virtual currency, or money service",16
PA,"Payday loan, title loan, personal loan, or advance loan",16
RI,Credit card,16
UNITED STATES MINOR OUTLYING ISLANDS,Credit reporting or other personal consumer reports,16
WI,Student loan,16
KS,"Money transfer, virtual currency, or money service",15
LA,Mortgage,15
MO,Student loan,15
FL,Prepaid card,14
ID,Credit card,14
IN,"Payday loan, title loan, personal loan, or advance loan",14
KY,Mortgage,14
MN,Student loan,14
OK,Checking or savings account,14
WV,Checking or savings account,14
CT,Student loan,13
IA,"Money transfer, virtual currency, or money service",13
NE,Checking or savings account,13
NH,Credit card,13
NV,Mortgage,13
SC,"Payday loan, title loan, personal loan, or advance loan",13
TN,Vehicle loan or lease,13
AK,Debt collection,12
CT,Vehicle loan or lease,12
GA,Prepaid card,12
IL,Prepaid card,12
MO,Vehicle loan or lease,12
MS,Mortgage,12
NJ,Prepaid card,12
NM,Checking or savings account,12
NM,Credit card,12
